Student_ID,Age,Gender,GPA,Attendance,Assignment_Completion,Exam_Performance,Engagement_Score,Participation_Score,Behavioral_Score,Previous_Academic_Performance,Course_Satisfaction,Failed_Subjects,Assignments_Missed,LMS_Activity,Churn
STU25001,23,Female,8.16,91.0,87.0,90.5,5,4,3,8.42,2,0,1,5,0
STU25002,19,Male,5.83,79.1,85.3,59.6,3,5,5,6.12,4,0,1,4,1
STU25003,25,Female,3.98,41.9,41.4,40.3,2,1,2,4.09,4,1,6,2,1
STU25004,19,Female,7.93,67.4,52.7,93.0,4,4,2,7.73,4,0,5,4,0
STU25005,18,Female,8.29,62.6,64.9,82.3,4,2,3,7.57,2,0,4,3,0
STU25006,24,Female,8.66,71.6,74.6,87.8,5,5,4,8.49,3,0,3,3,0
STU25007,18,Male,5.73,53.0,52.1,63.2,3,3,2,6.0,1,0,5,3,0
STU25008,25,Female,7.58,76.7,74.3,74.3,4,4,3,7.78,4,0,3,2,0
STU25009,25,Female,6.77,90.4,98.6,74.2,4,4,5,7.01,3,0,0,4,1
STU25010,20,Female,7.92,72.4,78.0,75.1,4,4,4,8.58,1,0,2,4,1
STU25011,24,Female,5.65,58.0,60.8,63.7,3,3,2,6.1,2,0,4,3,0
STU25012,21,Male,6.31,67.2,67.2,67.6,3,3,3,6.44,2,0,3,5,0
STU25013,21,Male,5.88,66.0,55.2,62.3,3,4,3,5.78,5,0,4,3,1
STU25014,24,Male,7.32,76.5,81.9,80.2,4,3,5,7.1,2,0,2,4,0
STU25015,21,Female,5.68,38.2,35.1,55.3,3,1,1,5.03,3,0,6,2,1
STU25016,19,Male,4.44,63.9,77.4,45.9,3,3,5,4.68,4,1,2,3,0
STU25017,21,Female,6.25,63.1,62.9,68.1,3,4,3,6.76,3,0,4,3,0
STU25018,20,Female,5.96,77.0,85.6,57.6,4,3,4,7.39,2,0,1,5,1
STU25019,22,Female,3.27,43.0,46.9,38.0,2,3,2,2.71,4,1,5,2,0
STU25020,23,Female,4.05,50.7,65.1,44.5,2,3,4,4.16,5,1,3,1,1
STU25021,23,Female,9.08,90.8,100.0,93.7,5,5,4,9.07,2,0,0,5,0
STU25022,21,Female,7.44,80.0,75.0,73.5,4,4,3,6.86,3,0,2,3,0
STU25023,24,Male,3.46,55.1,49.6,33.7,2,3,2,2.36,4,3,5,2,1
STU25024,20,Male,7.72,98.8,100.0,80.5,4,5,5,7.53,4,0,0,5,0
STU25025,25,Female,7.1,84.4,83.2,75.9,4,4,4,8.43,4,0,2,5,1
STU25026,20,Female,7.37,63.4,60.0,69.8,4,4,3,7.87,1,0,4,4,0
STU25027,18,Male,4.56,46.2,41.9,50.2,2,2,2,5.13,4,2,6,2,1
STU25028,23,Female,9.75,97.5,93.5,97.6,5,5,5,9.85,5,0,1,5,0
STU25029,22,Male,3.33,55.1,58.0,40.6,2,2,3,2.83,4,1,4,3,0
STU25030,20,Female,7.76,69.8,89.4,77.9,4,4,4,7.93,3,0,1,2,0
STU25031,18,Male,9.45,88.3,80.7,96.6,5,4,3,8.86,4,0,2,4,0
STU25032,18,Female,9.42,86.8,82.5,95.3,5,4,4,9.46,3,0,2,3,0
STU25033,24,Female,10.0,93.4,92.9,100.0,5,4,5,10.0,4,0,1,4,0
STU25034,19,Female,5.85,59.8,48.8,58.5,3,2,2,6.38,4,0,5,3,0
STU25035,21,Female,6.63,69.5,85.3,66.2,3,4,4,7.03,1,0,1,2,0
STU25036,19,Female,5.14,56.8,49.9,58.9,3,3,2,5.21,1,0,5,3,1
STU25037,25,Female,7.01,87.6,82.4,67.5,4,4,4,6.02,4,0,2,4,1
STU25038,25,Female,7.69,68.6,64.8,69.1,4,3,3,8.44,3,0,4,2,0
STU25039,23,Female,6.91,58.1,57.5,68.4,4,3,3,7.51,4,0,4,3,1
STU25040,23,Male,6.49,70.2,68.1,66.4,3,2,4,7.1,1,0,3,3,0
STU25041,21,Female,4.43,57.8,57.9,53.4,2,3,2,3.94,2,3,4,2,1
STU25042,23,Female,6.83,63.1,55.5,73.4,3,3,2,7.6,3,0,4,2,1
STU25043,25,Female,6.77,84.0,95.1,71.0,4,4,5,6.08,3,0,0,5,0
STU25044,25,Female,2.13,22.1,24.1,30.0,1,1,1,1.07,3,2,8,2,1
STU25045,19,Male,6.05,62.4,63.6,61.8,3,3,4,5.66,1,0,4,4,1
STU25046,23,Female,7.01,76.5,79.6,59.7,4,4,3,7.23,5,0,2,3,0
STU25047,24,Male,8.66,66.8,78.1,90.2,4,4,3,8.32,4,0,2,3,0
