Student_ID,Age,Gender,GPA,Attendance,Assignment_Completion,Exam_Performance,Engagement_Score,Participation_Score,Behavioral_Score,Previous_Academic_Performance,Course_Satisfaction,Failed_Subjects,Assignments_Missed,LMS_Activity,Churn
STU1001,24,Female,3.14,83.9,78.7,73.3,79.9,91,75,73.5,5,0,2,141,0
STU1002,21,Female,2.74,59.7,67.2,63.1,58.0,46,58,73.4,3,0,3,135,1
STU1003,22,Female,2.87,44.5,43.2,64.5,46.9,50,50,70.4,2,0,6,132,1
STU1004,24,Female,2.55,56.3,45.6,62.2,48.1,33,51,66.4,2,0,5,139,0
STU1005,20,Female,3.28,71.2,59.8,80.0,65.2,52,63,60.3,4,0,4,227,0
STU1006,22,Male,3.24,67.3,72.1,79.2,66.1,61,67,80.2,4,0,3,142,1
STU1007,22,Female,2.74,62.1,50.2,67.4,57.0,63,64,60.2,3,0,5,91,0
STU1008,24,Female,3.07,76.3,78.8,76.6,72.8,67,69,74.6,5,0,2,162,0
STU1009,19,Female,2.93,75.8,79.4,68.1,69.9,62,74,69.3,3,0,2,96,0
STU1010,20,Male,2.98,79.4,71.4,65.3,72.5,67,76,86.5,4,0,3,150,0
STU1011,24,Female,3.16,62.9,70.0,68.8,68.9,73,73,78.2,3,0,3,174,0
STU1012,20,Male,3.3,87.6,73.9,83.5,78.3,72,78,76.5,4,0,3,186,0
STU1013,20,Female,3.5,94.1,96.5,84.8,92.5,98,85,70.9,5,0,0,194,0
STU1014,22,Female,2.91,75.2,74.9,57.9,74.9,76,69,70.0,4,0,3,201,0
STU1015,21,Female,3.32,80.4,79.4,84.6,78.2,76,85,83.5,4,0,2,158,0
STU1016,20,Female,2.85,66.7,57.3,79.0,62.9,50,78,67.3,4,0,4,172,1
STU1017,23,Male,3.15,78.8,71.3,70.0,73.5,80,63,70.6,4,0,3,165,0
STU1018,22,Male,3.33,78.7,91.7,80.3,77.0,65,71,73.9,4,0,1,171,0
STU1019,19,Male,2.56,71.4,81.1,58.5,67.7,53,71,65.5,3,0,2,118,0
STU1020,21,Female,1.93,27.8,33.7,51.2,32.0,40,33,53.8,2,1,7,58,1
STU1021,23,Female,3.66,78.6,86.1,78.5,74.0,56,84,94.4,4,0,1,127,0
STU1022,23,Female,2.83,65.0,71.8,66.8,62.2,53,58,60.5,3,0,3,135,0
STU1023,19,Female,2.13,51.8,49.2,57.7,49.3,51,42,56.4,3,2,5,123,1
STU1024,21,Male,3.07,81.3,81.7,80.0,81.0,94,79,71.6,4,0,2,139,0
STU1025,22,Female,3.54,73.3,61.5,85.4,67.0,59,65,81.7,4,0,4,203,0
STU1026,18,Female,3.31,88.9,88.2,75.8,84.6,73,92,80.3,5,0,1,187,0
STU1027,21,Female,3.05,53.2,62.7,62.5,57.3,60,60,74.9,3,0,4,117,0
STU1028,19,Female,2.88,63.3,58.0,63.8,58.8,47,65,72.2,4,0,4,153,0
STU1029,23,Male,3.46,92.0,100.0,78.3,89.3,84,89,73.3,4,0,0,165,0
STU1030,22,Male,2.89,48.3,49.0,64.4,53.6,61,68,63.4,3,0,5,111,1
STU1031,21,Female,2.86,90.1,79.0,68.3,79.7,75,76,78.5,4,0,2,164,0
