Student_ID,Age,Gender,GPA,Attendance,Assignment_Completion,Exam_Performance,Engagement_Score,Participation_Score,Behavioral_Score,Previous_Academic_Performance,Course_Satisfaction,Failed_Subjects,Assignments_Missed,LMS_Activity,Churn
STU0001,17,Other,6.557807906002563,76.93663265696199,61.775781712043496,59.46700214029881,3,3,4,4.0,2,0,6,2,0
STU0002,23,Other,8.224357757187434,72.83449999845651,100.0,64.5833471185775,4,2,2,7.2459271883842895,2,3,2,4,1
STU0003,22,Female,7.3346118741852555,87.55852836623997,71.51288514123817,59.58334811178306,4,4,1,6.941216214326858,4,1,8,4,0
STU0004,20,Other,7.01720425085243,75.16998907422982,87.42080348098774,53.23553857748222,2,3,3,8.783246672218176,4,3,1,2,0
STU0005,20,Male,7.193818069377423,74.31963254608876,71.20045696513269,74.63283203704687,4,2,3,8.15761527299634,2,2,2,3,0
STU0006,23,Other,7.523122018406166,79.2562803586575,71.53884251609205,74.81514697072124,2,2,1,5.6395699773438395,4,1,1,4,1
STU0007,17,Other,7.91681419968978,98.35904019565021,63.239560001669886,92.4095131011398,1,3,1,8.490566342353096,1,3,1,1,1
STU0008,22,Female,6.300287771330618,61.91572550374555,73.78685894049417,63.97993957974357,4,4,1,6.685222569302806,3,1,7,2,1
STU0009,18,Other,6.258412367378728,87.23828271666426,76.76998041621071,75.55320707547925,4,2,1,5.914656128444745,1,4,7,3,1
STU0010,17,Female,8.40467921540253,55.28194606514274,60.2361223662723,75.75255095129762,2,3,3,7.236523901045443,3,4,6,2,1
STU0011,21,Male,6.887663127795269,80.60727789874349,70.12433376210174,68.95394926649361,2,3,1,6.756676773203418,2,0,8,4,0
STU0012,24,Other,5.883157907403126,96.90099393130477,62.84851700914329,80.93200306499611,2,1,3,8.846158376834229,2,3,0,2,1
STU0013,22,Male,7.743812709383104,83.86402229360769,100.0,81.30275024220857,1,4,1,7.408746434189452,2,4,6,1,1
STU0014,23,Male,7.763369806032687,80.04750094247751,70.65403845132572,75.92893314237048,4,3,4,7.246790705063207,2,0,1,2,0
