Student_ID,Age,Gender,GPA,Attendance,Assignment_Completion,Exam_Performance,Engagement_Score,Participation_Score,Behavioral_Score,Previous_Academic_Performance,Course_Satisfaction,Failed_Subjects,Assignments_Missed,LMS_Activity,Churn
S001,18,Male,8.71,66.0,52.7,50.6,83.1,68.2,77.5,46.7,1,1,3,60.4,1
S002,17,Male,8.58,86.6,68.1,69.7,53.1,90.9,86.7,53.8,4,2,4,32.4,0
S003,22,Male,5.46,59.4,91.6,78.2,87.5,81.1,74.5,98.5,4,0,8,43.5,0
S004,22,Male,8.52,57.1,57.5,60.9,40.2,46.3,50.6,60.3,3,1,5,48.4,1
S005,21,Male,8.05,62.7,85.1,54.0,59.7,99.3,80.2,75.6,3,0,3,85.7,0
S006,23,Female,5.33,96.1,76.2,84.5,48.8,64.9,93.7,80.4,2,2,2,39.7,1
S007,21,Female,9.49,73.0,57.1,99.9,68.1,36.4,47.6,51.0,2,3,1,50.8,1
S008,24,Female,9.86,93.7,45.6,84.6,79.3,67.6,59.7,80.3,1,2,6,32.7,1
S009,17,Female,9.86,89.3,72.9,50.9,75.6,88.9,72.9,55.9,3,1,8,96.3,0
S010,17,Female,7.44,60.0,65.0,99.2,87.4,46.8,58.2,76.2,1,0,7,85.3,0
S011,19,Male,8.3,97.6,54.1,74.0,74.4,97.5,96.1,86.5,2,2,6,99.6,1
S012,22,Female,9.5,75.3,58.6,48.5,36.4,68.8,77.4,45.4,1,1,1,92.4,1
S013,22,Male,7.57,67.5,71.7,74.7,82.0,91.8,76.7,58.4,4,3,3,27.5,0
S014,22,Female,7.06,93.9,48.0,80.9,77.0,34.2,85.1,89.0,1,1,3,35.2,1
S015,23,Male,6.39,66.2,95.8,69.4,91.0,68.5,47.8,100.0,1,0,3,33.3,1
S016,24,Female,6.07,73.0,48.2,65.8,99.0,48.6,88.1,70.0,4,4,7,32.4,1
S017,21,Male,9.84,81.1,74.8,86.1,38.7,70.9,72.7,91.9,2,0,8,26.4,1
S018,18,Male,7.02,97.4,76.3,76.8,37.6,35.7,81.2,76.1,3,2,3,73.6,1
S019,21,Female,5.65,84.0,70.1,96.1,95.8,30.7,79.2,76.0,1,0,8,37.1,1
S020,22,Male,9.4,71.6,53.7,90.9,80.7,72.8,99.3,81.0,1,4,4,94.5,1
S021,18,Male,6.32,95.0,85.8,53.5,53.3,44.7,63.9,82.8,3,4,7,40.1,1
S022,17,Male,8.17,92.3,47.4,63.3,43.5,98.6,53.9,69.3,4,4,0,28.9,1
S023,19,Male,9.17,81.2,53.1,52.0,55.0,92.9,88.8,92.3,3,1,3,73.4,1
S024,23,Male,9.63,65.7,53.9,89.0,46.5,58.9,54.9,95.8,4,1,4,32.7,1
S025,18,Female,9.36,93.6,57.2,89.9,64.9,51.4,88.7,57.5,1,1,6,46.3,0
S026,21,Female,8.21,73.0,99.0,74.5,96.1,38.1,98.4,54.8,3,0,1,67.7,0
S027,22,Female,7.18,99.3,51.4,94.5,47.4,33.1,69.0,73.6,5,1,5,54.5,0
S028,22,Female,8.32,60.6,94.5,72.9,78.3,52.8,83.3,75.5,2,3,6,74.2,1
S029,19,Female,7.03,92.5,61.7,56.6,86.1,72.5,62.7,69.3,2,4,7,83.5,1
S030,19,Male,6.42,84.9,79.1,50.1,96.9,46.4,62.1,89.4,2,0,0,39.6,1
S031,24,Male,7.28,94.9,76.7,84.5,60.0,58.0,53.1,82.8,1,3,3,34.1,0
S032,24,Male,7.79,96.3,51.7,52.3,65.2,67.2,75.7,62.5,4,4,8,54.1,1
S033,24,Male,8.72,76.4,59.3,58.6,76.4,83.6,73.7,79.5,3,3,1,77.1,1
S034,20,Female,6.68,95.2,49.4,53.3,59.9,40.7,56.8,67.8,3,4,7,53.3,1
S035,20,Female,6.95,89.6,97.0,46.1,92.2,70.3,71.2,96.9,3,3,6,63.1,0
S036,20,Female,6.1,74.6,46.6,63.5,79.1,58.3,54.1,70.7,2,4,8,22.2,1
S037,23,Male,5.42,74.3,92.7,55.0,51.9,52.9,70.0,63.6,4,2,6,40.2,1
S038,18,Female,5.1,79.3,100.0,64.2,77.3,84.7,80.8,86.5,2,1,0,69.7,1
S039,24,Male,7.82,64.8,83.5,87.2,45.9,72.5,86.1,51.3,2,2,1,66.3,1
S040,21,Female,6.98,87.2,49.2,83.0,75.8,37.1,87.5,91.8,5,0,0,47.8,0
S041,23,Female,5.34,84.1,45.7,68.1,66.9,60.3,64.9,94.0,4,1,6,34.1,0
S042,21,Female,7.32,92.2,77.6,62.7,51.0,95.4,60.3,69.8,4,4,6,46.9,0
S043,22,Male,7.44,71.0,59.2,60.4,73.8,91.6,75.6,73.4,2,0,3,77.6,0
S044,20,Female,8.23,77.1,88.6,50.1,49.4,78.4,61.8,77.0,4,4,8,47.5,1
S045,22,Female,8.51,67.2,58.8,51.6,47.5,38.4,74.5,86.9,2,1,3,79.1,1
