Student_ID,Age,Gender,GPA,Attendance,Assignment_Completion,Exam_Performance,Engagement_Score,Participation_Score,Behavioral_Score,Previous_Academic_Performance,Course_Satisfaction,Failed_Subjects,Assignments_Missed,LMS_Activity,Churn
STU0001,23,Male,7.7,70.5,92.4,57.7,56.7,42.5,58.4,8.41,8.3,1,2,90.3,0
STU0002,20,Female,7.26,81.1,69.0,52.0,63.0,83.9,83.4,7.28,7.1,1,2,72.5,0
STU0003,24,Male,8.35,84.5,75.3,59.6,49.3,51.7,62.7,7.74,8.8,0,1,56.0,0
STU0004,21,Male,7.61,84.1,56.3,75.1,64.3,67.4,51.8,8.72,6.7,0,3,68.4,0
STU0005,23,Female,6.63,79.0,100.0,71.6,67.3,57.8,62.9,6.1,7.6,0,4,79.2,0
STU0006,19,Male,5.33,87.7,100.0,66.5,79.9,40.9,71.5,3.82,6.9,0,2,88.2,0
STU0007,23,Female,6.55,84.3,77.5,67.4,87.6,61.8,54.3,6.87,6.8,0,2,76.7,1
STU0008,24,Male,5.78,61.9,91.4,63.6,54.5,76.4,54.7,5.01,7.4,0,2,62.4,0
STU0009,21,Male,6.1,89.3,77.8,49.1,32.6,42.1,100.0,6.79,7.9,0,2,81.1,0
STU0010,20,Male,7.51,89.5,53.6,56.0,67.6,80.4,59.1,7.24,4.9,0,1,87.2,0
STU0011,24,Female,8.8,68.1,68.4,87.7,73.3,48.9,67.2,9.22,9.4,1,2,77.6,0
STU0012,24,Female,7.27,78.5,77.1,69.6,72.5,55.8,66.5,8.25,3.8,1,2,53.3,0
STU0013,19,Female,5.36,86.9,67.7,49.3,62.1,75.1,65.7,4.51,5.8,2,2,66.4,0
STU0014,22,Male,7.33,75.3,71.5,69.8,70.2,52.4,81.3,6.93,6.8,3,5,89.0,0
STU0015,21,Female,8.24,91.9,73.5,77.4,95.3,65.7,86.2,8.19,7.7,0,2,42.3,0
STU0016,18,Male,6.07,100.0,73.7,67.5,74.9,59.0,67.4,7.15,9.7,0,3,28.1,0
STU0017,24,Male,6.64,67.8,75.8,72.7,61.3,67.5,53.5,6.18,3.8,1,0,100.0,0
STU0018,22,Female,6.82,60.0,58.0,66.8,59.0,19.8,91.1,6.4,6.1,0,2,80.2,1
STU0019,18,Male,5.86,81.9,63.5,61.2,64.9,30.2,70.6,6.19,3.4,1,2,82.1,0
STU0020,21,Male,7.58,87.4,54.4,73.4,97.5,76.7,98.0,7.18,7.1,0,1,48.5,0
STU0021,17,Male,6.65,75.0,90.6,55.2,64.7,84.7,38.3,6.76,7.5,2,2,84.8,0
STU0022,22,Male,7.3,96.9,41.3,73.3,67.6,47.7,74.9,6.21,9.7,1,1,75.5,0
STU0023,25,Male,5.74,60.6,93.5,37.7,59.3,60.4,100.0,7.29,7.2,2,2,38.3,0
STU0024,17,Female,6.28,87.0,97.2,67.1,87.8,70.6,66.7,5.34,8.8,0,4,98.5,0
STU0025,19,Male,7.67,70.1,70.2,57.1,100.0,78.2,68.6,7.44,8.0,0,3,73.2,0
STU0026,23,Female,6.35,100.0,33.3,60.0,76.1,26.5,76.4,6.33,6.3,0,1,62.1,0
STU0027,20,Female,8.87,100.0,69.2,71.4,69.5,48.2,63.6,10.0,4.6,1,3,62.4,0
STU0028,25,Male,6.32,68.0,74.0,62.4,68.7,58.7,67.3,5.39,7.5,1,3,29.7,0
STU0029,19,Male,7.07,70.9,58.8,63.3,25.1,78.4,66.9,8.46,4.5,0,4,81.9,1
STU0030,21,Male,7.92,89.2,66.8,55.3,81.4,100.0,62.6,8.45,9.2,0,3,75.2,0
STU0031,19,Female,5.1,73.0,99.5,50.1,70.4,60.7,90.4,5.39,6.7,2,1,66.1,0
STU0032,23,Male,4.69,77.4,85.6,36.4,75.7,38.3,78.9,4.0,9.0,0,2,95.6,0
STU0033,21,Female,4.97,78.3,60.2,53.5,55.2,72.6,75.8,5.37,6.2,1,2,42.3,0
STU0034,25,Male,8.32,53.0,49.4,74.9,61.1,90.1,84.1,7.81,7.5,1,2,58.1,0
STU0035,23,Female,6.14,77.8,69.8,59.2,60.6,67.1,68.0,7.03,7.4,1,3,53.0,0
STU0036,18,Male,9.87,69.0,71.6,79.3,86.4,47.8,60.4,9.19,6.9,2,2,64.4,0
STU0037,20,Male,6.12,71.6,82.9,49.2,61.2,83.2,63.0,6.04,6.3,1,0,71.3,0
STU0038,25,Female,7.02,96.8,66.4,58.6,100.0,77.6,72.0,6.63,7.7,0,1,78.6,0
STU0039,18,Female,8.65,61.7,83.2,86.4,75.8,45.5,56.1,7.96,5.4,0,1,63.1,0
STU0040,25,Male,9.21,88.6,100.0,99.7,45.0,72.2,64.5,9.73,4.9,1,1,52.5,0
STU0041,21,Female,9.27,74.4,88.0,75.4,65.7,83.9,64.3,9.64,9.1,0,1,100.0,0
STU0042,18,Female,8.25,74.4,74.2,85.0,56.3,87.5,100.0,9.1,8.2,0,3,100.0,0
STU0043,20,Female,8.03,88.3,72.1,50.6,28.5,63.7,30.4,6.78,7.1,0,0,72.9,0
